month,product_name,market_sales_value,market_sales_units,competitor_name,region,data_source
2023-07,Cardiostat,376700.32,6882,AstraZeneca,North,Third Party Estimate
2023-07,Cardiostat,255781.89,3889,AstraZeneca,East,Local Market Audit
2023-07,CARDIOSTAT,1640145.25,16949,AbbVie,South,Distributor Panel
2023-07,CardiostatXR,1051323.16,7734,Pfizer,South,IQVIA
2023-07,CardiostatXR,1134126.11,9036,Pfizer,West,Third Party Estimate
2023-07,Cardiostat XR,1515161.34,11425,AstraZeneca,East,Distributor Panel
2023-07,GLUCOFREE,833554.51,15853,Pfizer,Central,Third Party Estimate
2023-07,GLUCOFREE,1071946.95,8628,Sanofi,South,Distributor Panel
2023-07,GlucoFree,900083.81,8060,AstraZeneca,North,Local Market Audit
2023-07,GlucoFree ,852893.45,14092,Sanofi,West,Local Market Audit
2023-07,GlucoFree,1729730.32,14660,Novartis,East,IQVIA
2023-07,GlucoFree XR ,667039.29,8077,Novartis,West,Distributor Panel
2023-07,GlucoFreeXR,578770.22,5886,Local Generic,East,Third Party Estimate
2023-07,GLUCOFREE XR,883577.87,13421,AstraZeneca,North,Third Party Estimate
2023-07,GLUCOFREE XR,775664.82,6117,Local Generic,Gulf,Local Market Audit
2023-07,GlucoFree XR ,1877944.08,18473,AbbVie,South,Third Party Estimate
2023-07,Bronchion ,991024.66,17825,Novartis,Central,Third Party Estimate
2023-07,Bronchion,615132.53,4798,AstraZeneca,North,Local Market Audit
2023-07,Bronchion,1839252.5,14403,Local Generic,Gulf,Local Market Audit
2023-07,Bronchion,384954.52,6379,AstraZeneca,East,Distributor Panel
2023-07,Bronchion,1370757.29,10286,Novartis,South,IQVIA
2023-07,BRONCHION COLD,1873349.43,13584,Novartis,Central,Third Party Estimate
2023-07,Bronchion Cold ,1123188.22,11807,Novartis,North,Local Market Audit
2023-07,BronchionCold,2098390.32,15038,AbbVie,Gulf,Third Party Estimate
2023-07,Bronchion Cold,286215.02,5603,AstraZeneca,East,Local Market Audit
2023-07,Immunex,754292.24,5955,AstraZeneca,North,Local Market Audit
2023-07,IMMUNEX,606601.87,9282,Local Generic,Gulf,Third Party Estimate
2023-07,IMMUNEX,1092367.13,8975,Pfizer,Central,IQVIA
2023-07,Immunex ,1262233.46,14808,Local Generic,West,IQVIA
2023-07,IMMUNEX JUNIOR,1352546.55,19710,AstraZeneca,North,Third Party Estimate
2023-07,IMMUNEX JUNIOR,448851.5,6281,Pfizer,West,Third Party Estimate
2023-07,Immunex Junior,1930928.68,19849,Local Generic,East,IQVIA
2023-07,GastroEase,1548078.4,12176,Novartis,South,Third Party Estimate
2023-07,GastroEase ,338406.67,4821,Sanofi,Gulf,Third Party Estimate
2023-07,GastroEase ,2549018.0,18264,Novartis,West,Local Market Audit
2023-07,GASTROEASE DSR,386642.8,4282,Pfizer,South,IQVIA
2023-07,GASTROEASE DSR,1667399.85,16423,AbbVie,North,IQVIA
2023-07,GastroEase DSR,1266664.87,12482,AbbVie,Central,Distributor Panel
2023-07,GASTROEASE DSR,861577.32,7622,Sanofi,East,Third Party Estimate
2023-07,GastroEaseDSR,489949.15,6666,Pfizer,Gulf,IQVIA
2023-07,ALLERSAFE,934103.34,7259,Sanofi,Central,Distributor Panel
